,Habitat,0.9 ka,4.0 ka,7.8 ka,10.6 ka,13.8 ka,15.8 ka,22.7 ka,30.0 ka,33.5 ka
Parinari [#],SV,0,0,0,0,0,0,0,0,0
Parkinso [#],-,0,0,0,0,0,0,0,0,0
Passerina [#],MTD,0,0,0,0,0,0,0,0,0
Pavetta [#],MTW,0,0,0,1,0,0,0,0,0
PentCotu-T [#],SV,0,1,0,1,0,0,2,0,0
Pericopsis [#],SV,0,0,0,0,0,1,0,0,0
Persicaria [#],SW,0,0,0,0,0,2,0,0,0
Phoenix-T [#],SW,0,0,3,2,2,0,0,0,0
Phy-T [#],SW,0,2,0,3,10,0,12,1,4
Phyllanthus [#],-,0,0,0,0,0,0,0,0,0
Pla [#],-,0,0,0,0,0,0,0,0,0
Poac [#],C4,15,9,14,22,15,27,55,32,18
Pod [#],MTW,7,26,18,16,30,28,43,26,38
Pol.b-T [#],SW,0,0,0,0,0,0,0,0,0
Protea [#],MTD,0,0,0,0,0,0,0,0,0
Pseudolachnostylis-T [#],SV,1,2,0,0,1,1,0,1,0
P.-T horizontalis [#],SV,0,0,0,1,0,0,0,0,0
Psydrax subc [#],RF,0,0,0,0,0,0,0,0,0
Pterocarpus-T [#],SV,1,0,0,1,1,0,1,0,0
Pycnanth [#],RF,0,0,0,0,1,0,0,0,0
Restceae [#],MTD,1,0,0,0,0,0,0,0,0
Rha [#],RF,0,0,0,0,0,0,0,0,0
Rhiz [#],RF,3,3,4,7,4,0,0,0,0
Rhu [#],SV,0,0,0,0,0,0,0,0,0
Rhynch-T [#],SV,1,0,0,0,0,0,0,0,0
R. abyssinica-T [#],MTD,0,0,0,0,0,0,0,0,0
Rothmann [#],SV,0,0,0,0,0,0,0,0,0
Ruellia [#],SV,1,0,0,0,0,0,0,0,0
Rytigyni [#],SV,0,0,0,0,1,0,0,0,0
Sapeae [#],SV,0,0,0,0,0,1,0,0,0
Sesban-T [#],SV,0,0,0,0,0,0,0,0,0
Sol [#],SV,0,0,2,0,1,1,0,0,0
Sori-T [#],SV,0,1,0,0,0,0,0,0,0
Spermacoce [#],SV,0,0,0,1,0,0,0,0,0
Stephanoc.striat [#],-,0,0,0,0,0,0,0,0,0
Stercu-T [#],RF,0,0,0,0,0,0,0,0,0
Stereosp [#],SV,0,0,0,1,0,0,0,0,0
Stipular [#],SW,0,0,0,0,0,0,0,0,0
Stoebe-T [#],MTD,0,0,0,0,0,0,2,0,0
Symphonia [#],RF,0,0,0,0,0,0,0,0,0
Terminalia-T [#],SW,0,1,0,3,0,0,0,0,0
Tetrorch [#],RF,0,0,0,0,0,0,1,0,0
Thyae [#],RF,0,0,0,0,0,0,0,0,0
Tus [#],RF,0,0,0,0,1,0,0,0,0
Typ [#],SW,0,0,0,0,1,0,3,0,0
Uapaca [#],SV,1,0,1,1,3,0,1,0,0
Urtae [#],RF,0,0,0,0,0,0,0,0,0
Utr [#],SW,0,0,0,0,0,0,0,0,0
Zanthoxy [#],RF,0,0,0,0,0,0,0,0,0
Ziziphus [#],RF,0,0,0,0,0,1,0,0,0
Zyg [#],SV,3,0,0,0,1,0,0,0,0
Lyc [#],MTW,4,1,0,1,0,1,5,2,2
Lygodium [#],RF,0,0,0,0,0,0,0,0,0
Pocae [#],Fern,3,2,0,6,4,2,7,2,1
Ptd [#],Fern,3,1,0,3,1,0,1,1,0
Pes [#],SW,0,1,1,1,2,0,3,0,0
Schiza-T [#],Fern,0,0,0,0,0,0,0,0,1
Sel [#],SW,0,0,0,0,0,0,0,0,0
Stenochlaena-T [#],RF,0,2,0,3,0,0,0,1,0
monolete [#],Fern,26,17,5,16,36,14,34,22,13
trilete spores [#],Fern,25,14,6,16,24,18,19,7,14
Aos [#],MTW,0,0,0,1,2,1,3,0,2
Phaeoc [#],MTW,0,0,0,1,0,2,5,10,5
Pollen tot [#],,96,95,85,139,149,120,276,154,117
Sporom [#],,157,133,97,185,216,155,345,189,148
Indet [#],,3,7,3,8,7,4,9,7,1
